entity,entity_type,homeland_status
Abron,ethnic_group,unresolved
KULANGO,ethnic_group,resolved
Afo,ethnic_group,resolved
Ahizi,ethnic_group,unresolved
Akye,ethnic_group,unresolved
DIDA,ethnic_group,resolved
Ayizo,ethnic_group,unresolved
BACHAMA,ethnic_group,resolved
Chamba,ethnic_group,resolved
Kona,ethnic_group,resolved
Fula,ethnic_group,resolved
BARGU,ethnic_group,resolved
Nago,ethnic_group,unresolved
Shabe,ethnic_group,unresolved
BAULE,ethnic_group,resolved
BAYA,ethnic_group,resolved
KUNDA,ethnic_group,resolved
LUAPULA,ethnic_group,resolved
NGINDO,ethnic_group,resolved
Kinga,ethnic_group,resolved
BETE,ethnic_group,resolved
Ouby,ethnic_group,unresolved
Guin,ethnic_group,resolved
CHEWA,ethnic_group,resolved
BUILSA,ethnic_group,resolved
Sisala,ethnic_group,unresolved
BURA,ethnic_group,resolved
Bamana,ethnic_group,unresolved
Bangubangu,ethnic_group,unresolved
REGA,ethnic_group,resolved
Baoule,ethnic_group,unresolved
Bobo-Dioula,ethnic_group,unresolved
Bornu,ethnic_group,unresolved
Bwaba,ethnic_group,unresolved
Pare,ethnic_group,resolved
CHAKOSSI,ethnic_group,resolved
Gonja,ethnic_group,unresolved
Mamprusi,ethnic_group,resolved
CYRENAICANS,ethnic_group,resolved
Cham,ethnic_group,resolved
JEN,ethnic_group,resolved
DAKAKARI,ethnic_group,resolved
Zamfara,ethnic_group,unresolved
DAN,ethnic_group,resolved
Gagu,ethnic_group,resolved
Guro,ethnic_group,resolved
Mahouka,ethnic_group,unresolved
Tagbana,ethnic_group,unresolved
DIAN,ethnic_group,resolved
Godie,ethnic_group,unresolved
Neyo,ethnic_group,unresolved
DIGO,ethnic_group,resolved
DOROSIE,ethnic_group,resolved
Komono,ethnic_group,resolved
GUIN,ethnic_group,resolved
Dakakari,ethnic_group,resolved
Diula,ethnic_group,resolved
Djimini,ethnic_group,unresolved
GURO,ethnic_group,resolved
Doe,ethnic_group,unresolved
Tem,ethnic_group,resolved
Yarse,ethnic_group,unresolved
Taywana,ethnic_group,unresolved
Gourmantche,ethnic_group,unresolved
TEM,ethnic_group,resolved
Guere,ethnic_group,unresolved
HA,ethnic_group,resolved
HEHE,ethnic_group,resolved
KINGA,ethnic_group,resolved
Ha,ethnic_group,resolved
Hehe,ethnic_group,resolved
Hueda,ethnic_group,unresolved
POPO,ethnic_group,resolved
