
="",="(1)",="(2)",="(3)",="(4)"
="",="conflictD",="conflictD",="conflictD",="conflictD"

="T",="0.0107**",="0.0112**",="0.0109**",="0.0110**"
="",="(0.00435)",="(0.00453)",="(0.00449)",="(0.00452)"

="T_mixD",="0.0278***",="0.0326***",="0.0336***",="0.0336***"
="",="(0.00649)",="(0.00769)",="(0.00756)",="(0.00771)"

="T_polarization",="0.00712",="0.00644",="0.00603",="0.00611"
="",="(0.00574)",="(0.00574)",="(0.00572)",="(0.00572)"

="T_jr",="",="-0.00291",="",=""
="",="",="(0.00414)",="",=""

="T_mixD_jr",="",="-0.0218**",="",=""
="",="",="(0.00914)",="",=""

="T_njr",="",="",="-0.000996",=""
="",="",="",="(0.00265)",=""

="T_mixD_njr",="",="",="-0.0153***",=""
="",="",="",="(0.00541)",=""

="T_lognjr",="",="",="",="-0.00252"
="",="",="",="",="(0.00490)"

="T_mixD_lognjr",="",="",="",="-0.0276***"
="",="",="",="",="(0.0104)"

="_cons",="-0.373***",="-0.346***",="-0.346***",="-0.344***"
="",="(0.0858)",="(0.0838)",="(0.0841)",="(0.0838)"

="N",="174366",="174366",="174366",="174366"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
